when,time
3/5/2019 12:30,0
3/5/2019 12:31,15
3/5/2019 12:31,15
3/5/2019 12:31,15
3/5/2019 12:31,0
3/5/2019 12:31,0
3/5/2019 12:32,15
3/5/2019 12:32,15
3/5/2019 12:32,15
3/5/2019 12:32,62
3/5/2019 12:32,0
3/5/2019 12:32,15
3/5/2019 12:32,15
3/5/2019 12:32,31
3/5/2019 12:32,15
3/5/2019 12:32,31
3/5/2019 12:32,15
3/5/2019 12:33,0
3/5/2019 12:33,31
3/5/2019 12:34,15
3/5/2019 12:34,46
3/5/2019 12:34,15
3/5/2019 12:34,31
3/5/2019 12:34,15
3/5/2019 12:34,15
3/5/2019 12:34,15
3/5/2019 12:34,0
3/5/2019 12:34,15
3/5/2019 12:34,0
3/5/2019 12:34,15
3/5/2019 12:34,46
3/5/2019 12:34,0
3/5/2019 12:34,140
3/5/2019 12:34,109
3/5/2019 12:34,0
3/5/2019 12:34,15
3/5/2019 12:34,0
3/5/2019 12:34,15
3/5/2019 12:34,62
3/5/2019 12:34,15
3/5/2019 12:34,15
3/5/2019 12:35,15
3/5/2019 12:35,0
3/5/2019 12:35,0
3/5/2019 12:35,15
3/5/2019 12:35,15
3/5/2019 12:35,15
3/5/2019 12:35,0
3/5/2019 12:35,0
3/5/2019 12:35,0
3/5/2019 12:35,15
3/5/2019 12:35,31
3/5/2019 12:35,0
3/5/2019 12:35,15
3/5/2019 12:35,0
3/5/2019 12:35,0
3/5/2019 12:35,15
3/5/2019 12:35,0
3/5/2019 12:35,0
3/5/2019 12:35,0
3/5/2019 12:35,0
3/5/2019 12:35,15
3/5/2019 12:40,46
3/5/2019 12:40,0
3/5/2019 12:40,62
3/5/2019 12:40,15
3/5/2019 12:40,0
3/5/2019 12:40,0
3/5/2019 12:40,31
3/5/2019 12:45,15
3/5/2019 12:45,0
3/5/2019 12:45,15
3/5/2019 12:45,15
3/5/2019 12:53,93
3/5/2019 12:53,109
3/5/2019 12:53,15
3/5/2019 12:53,15
3/5/2019 12:53,0
3/5/2019 12:53,0
3/5/2019 12:53,15
3/5/2019 12:53,15
3/5/2019 12:53,15
3/5/2019 12:53,31
3/5/2019 12:53,15
3/5/2019 12:53,15
3/5/2019 12:53,15
3/5/2019 12:53,15
3/5/2019 12:53,15
3/5/2019 12:53,1890
3/5/2019 12:54,15
3/5/2019 12:54,15
3/5/2019 12:54,15
3/5/2019 12:54,0
3/5/2019 12:56,15
3/5/2019 12:56,0
3/5/2019 12:56,15
3/5/2019 12:57,0
3/5/2019 12:57,15
3/5/2019 12:57,31
3/5/2019 12:57,15
3/5/2019 12:57,15
3/5/2019 12:58,0
3/5/2019 12:58,0
3/5/2019 12:58,15
3/5/2019 12:58,15
3/5/2019 12:58,218
3/5/2019 12:58,93
3/5/2019 12:58,15
3/5/2019 12:58,31
3/5/2019 12:58,15
3/5/2019 12:58,15
3/5/2019 12:58,15
3/5/2019 12:58,15
3/5/2019 12:58,15
3/5/2019 12:58,31
3/5/2019 12:58,15
3/5/2019 12:58,15
3/5/2019 12:58,31
3/5/2019 12:58,31
3/5/2019 12:58,15
3/5/2019 12:58,15
3/5/2019 12:58,15
3/5/2019 12:58,31
3/5/2019 12:58,15
3/5/2019 12:59,15
3/5/2019 12:59,31
3/5/2019 13:00,15
3/5/2019 13:00,0
3/5/2019 13:01,0
3/5/2019 13:01,15
3/5/2019 13:02,0
3/5/2019 13:02,0
3/5/2019 13:03,15
3/5/2019 13:03,0
3/5/2019 13:04,15
3/5/2019 13:04,0
3/5/2019 13:05,15
3/5/2019 13:05,0
3/5/2019 13:05,15
3/5/2019 13:05,15
3/5/2019 13:05,15
3/5/2019 13:05,15
3/5/2019 13:05,15
3/5/2019 13:05,15
3/5/2019 13:05,15
3/5/2019 13:06,15
3/5/2019 13:06,15
3/5/2019 13:06,124
3/5/2019 13:06,0
3/5/2019 13:06,15
3/5/2019 13:06,15
3/5/2019 13:07,15
3/5/2019 13:07,15
3/5/2019 13:07,15
3/5/2019 13:07,0
3/5/2019 13:07,15
3/5/2019 13:07,109
3/5/2019 13:07,0
3/5/2019 13:07,0
3/5/2019 13:07,0
3/5/2019 13:07,15
3/5/2019 13:09,15
3/5/2019 13:09,15
3/5/2019 13:09,15
3/5/2019 13:09,0
3/5/2019 13:15,31
3/5/2019 13:15,0
3/5/2019 13:15,15
3/5/2019 13:15,78
3/5/2019 13:15,0
3/5/2019 13:16,15
3/5/2019 13:16,15
3/5/2019 13:16,15
3/5/2019 13:16,0
